ID,First Author,Year,Journal,Research Type,Pollutant(s),Material(s),Target Variable,Data Source,Dataset Size,Best Algorithm,Best Metric,Validation,Code,Data,DOI
1,Diego Melchor Polanco Gamboa,2024,International Journal of Molecular Sciences,adsorption,Congo Red,Biochar,removal_efficiency,experimental,105,GBM,0.914,random_split,N,N,10.3390/ijms25094771
2,Kun Tian,2025,Scientific Reports,adsorption,Methylene Blue; Pb(II); Cd(II) (+2),Biochar; SDMBC,adsorption_capacity,experimental,NR,XGBoost,0.976,random_split,N,Y,10.1038/s41598-025-91229-z
3,G. V. S. R. Pavan Kumar,2019,Applied Water Science,adsorption,Cu(II),Groundnut seed cake powder; Sesame seed cake powder; Coconut cake powder,removal_efficiency,experimental,NR,ANN,0.989 (R),random_split,N,N,
5,Muhammad Faisal Javed,2024,Results in Engineering,degradation,organic air pollutants; VOCs,TiO2,rate_constant,literature,200,RF,0.9 (R),k_fold,N,N,
6,Kai Zhang,2020,Environmental Science & Technology,adsorption,phenol; 2-nitroaniline; 2-nitrophenol (+12),Biochar; CNT; Activated Carbon (+1),log_Kd,literature,4102,ANN,0.910,random_split,Y,Y,10.1021/acs.est.0c02526
7,Rameez Ahmad Aftab,2023,Alexandria Engineering Journal,adsorption,Congo Red,Activated Carbon,adsorption_capacity,experimental,NR,SVR,0.982,random_split,N,N,
8,Seyedehmaryam Moosavi,2021,Nanomaterials,adsorption,dyes; Methylene Blue,Activated Carbon; agricultural waste; Biochar,adsorption_capacity,literature,350,RF,0.900,random_split,N,Y,10.3390/nano11102734
9,Abdul Ahad Khan,2023,Journal of the Taiwan Institute of Chemical Engineers,adsorption,Congo Red,Biochar,removal_efficiency,experimental,64,ANN,0.997,random_split,N,N,10.1016/j.jtice.2023.105312
10,Zohreh Khoshraftar,2024,Scientific Reports,adsorption,CO2,CNT; Fe-Ni/AC catalyst,adsorption_capacity,experimental,250,ANN,0.999,random_split,N,N,
12,Miaomiao Zhang,2024,ACS Omega,adsorption,Norfloxacin,Biochar; Activated Carbon,adsorption_capacity,literature,144,RF,0.924,k_fold,N,N,10.1021/acsomega.4c03496
14,Irvan Dahlan,2022,Water,adsorption,"2,4-Dichlorophenoxyacetic Acid",Hydrogel; Activated Carbon,adsorption_capacity,literature,20,RSM,1.000,random_split,N,N,10.3390/w14193061
15,Mehdi Bahrami,2023,Sustainability,adsorption,Caffeine,Activated Carbon; rice husk,adsorption_capacity,experimental,31,RF,0.952,random_split,N,Y,
17,Shen Wang,2025,Water,adsorption,Cd(II),Biochar,adsorption_capacity,literature,598,Stacking,0.918,random_split,N,N,10.3390/w17152266
18,Ghazala Muteeb,2025,Journal of Science Advanced Materials and Devices,adsorption,Congo Red,Biochar,removal_efficiency,experimental,17,DT,0.910,random_split,N,N,
23,Heng Liang,2021,ACS Omega,adsorption,Xe; Kr,MOF,selectivity,database,303991,XGBoost,0.973,k_fold,N,Y,10.1021/acsomega.1c00100
24,Xueying Yuan,2020,Green Energy & Environment,adsorption,Formaldehyde,MOF,uptake,database,29220,RF,0.867 (R),k_fold,N,N,10.1016/j.gee.2020.06.024
25,Nadia Hamri,2024,Water,adsorption,Methylene Blue,kaolinite; acid-treated kaolinite,adsorption_capacity,experimental,316,GPR,0.985,random_split,N,Y,10.3390/w16020243
51,Mochen Liao,2019,Biofuels Bioproducts and Biorefining,adsorption,,Activated Carbon; biomass,other,literature,168,ANN,0.940,random_split,N,Y,10.1002/bbb.1991
52,Kaihang Shi,2023,Journal of Chemical Theory and Computation,adsorption,Kr; Xe; ethane (+4),MOF; Activated Carbon; hyper-cross-linked polymers (+2),uptake,database,36000,MLP,0.990,random_split,Y,Y,10.1021/acs.jctc.2c00798
54,Zhilong Wang,2021,npj Computational Materials,adsorption,Pb(II); Hg(II); Cd(II),g-C3N4; graphitic carbon nitride,other,database,8400,DNN,0.990,random_split,N,N,10.1038/s41524-021-00494-9
55,Xiaohan Yu,2021,The Journal of Physical Chemistry C,adsorption,methane; ethane; ethene (+16),MOF,other,database,21195,GBM,0.879,random_split,Y,Y,10.1021/acs.jpcc.1c05266
56,Habib Ullah,2023,Carbon Research,adsorption,Selenium,Biochar,adsorption_capacity,literature,40,SVR,0.980,random_split,Y,N,10.1007/s44246-023-00061-5
57,Jinsheng Xiao,2021,Energies,adsorption,CO2; CH4; CO (+1),Activated Carbon,other,database,15,ANN,N/A,random_split,N,N,10.3390/en14092450
