ID,First Author,Year,A1,A2,A3,A4,B1,B2,B3,C1,C2,C3,Total
1,Diego Melchor Polanco Gamboa,2024,1,0,0,0,1,1,1,0,0,1,5
2,Kun Tian,2025,0,0,0,0,1,1,0,0,1,1,4
3,G. V. S. R. Pavan Kumar,2019,0,0,0,0,1,0,0,0,0,1,2
5,Muhammad Faisal Javed,2024,1,0,1,1,0,1,0,0,0,0,4
6,Kai Zhang,2020,1,0,0,0,1,1,1,1,1,1,7
7,Rameez Ahmad Aftab,2023,0,0,0,0,1,1,1,0,0,1,4
8,Seyedehmaryam Moosavi,2021,1,1,0,1,0,1,1,0,1,1,7
9,Abdul Ahad Khan,2023,1,0,0,0,1,1,0,0,0,0,3
10,Zohreh Khoshraftar,2024,1,0,0,1,1,1,0,0,0,0,4
12,Miaomiao Zhang,2024,1,0,0,0,1,1,0,0,0,0,3
14,Irvan Dahlan,2022,1,0,0,1,0,1,0,0,0,1,4
15,Mehdi Bahrami,2023,1,0,1,0,1,0,0,0,1,0,4
17,Shen Wang,2025,1,1,0,1,0,1,1,0,0,1,6
18,Ghazala Muteeb,2025,1,0,1,0,1,1,0,0,0,1,5
23,Heng Liang,2021,1,1,0,1,1,1,1,0,1,1,8
24,Xueying Yuan,2020,1,1,1,0,1,1,0,0,0,1,6
25,Nadia Hamri,2024,1,0,1,1,1,1,1,0,1,1,8
51,Mochen Liao,2019,1,1,0,1,0,1,0,0,1,1,6
52,Kaihang Shi,2023,1,1,0,0,1,1,0,1,1,1,7
54,Zhilong Wang,2021,1,0,1,0,1,1,0,0,0,1,5
55,Xiaohan Yu,2021,1,1,0,0,1,1,1,1,1,1,8
56,Habib Ullah,2023,1,0,0,1,0,0,1,1,0,1,5
57,Jinsheng Xiao,2021,1,0,0,1,1,1,0,0,0,1,5
59,Khumbolake Faith Ngulube,2024,1,0,0,0,1,1,0,0,1,1,5
60,Rodrigo Teixeira Schossler,2024,1,0,1,0,0,1,1,0,1,1,6
61,Huafei Lyu,2024,1,1,1,1,0,0,1,0,0,1,6
63,Mozhgan Parsaei,2022,1,0,0,1,0,1,0,0,0,1,4
65,Zhuoying Jiang,2022,1,0,0,0,0,0,1,0,0,1,3
68,Nihan Kaya,2024,1,0,0,0,1,1,0,0,0,1,4
70,Raouf Hassan,2025,1,0,0,0,0,1,0,0,0,0,2
71,Sang‐Hyun Kim,2024,1,1,0,0,1,0,0,0,0,0,3
72,Hossein Mashhadimoslem,2023,1,0,0,0,0,0,1,0,0,0,2
73,M. Venkata Ratnam,2022,1,0,1,0,1,0,0,0,1,1,5
74,Manohar Ratnam,2022,1,0,1,1,1,1,0,0,0,1,6
75,Matthew P. Rivera,2024,0,1,0,0,1,0,1,1,1,1,6
76,Mansoor Feilizadeh,2023,1,0,1,0,1,0,0,0,0,1,4
77,Vorrada Loryuenyong,2025,1,0,1,1,1,1,0,0,0,1,6
79,Yan-Yu Xie,2025,1,1,0,0,1,0,1,0,0,1,5
82,Wuqing Tao,2025,1,0,0,0,1,1,1,1,1,1,7
84,Jafar Abdi,2022,1,0,1,0,0,1,0,0,1,1,5
86,Xi Cheng,2023,1,0,1,0,1,1,1,0,0,1,6
87,Wenqian Ruan,2018,1,0,1,1,1,1,0,0,0,1,6
